"","Date","Value","Change"
"1",2020-07-30,10000,NA
"2",2020-08-21,9995.51447520543,-0.000448552479457409
"3",2020-08-26,9985.32338230829,-0.00101956661884883
"4",2020-08-28,9976.91887064357,-0.000841686477536241
"5",2020-09-02,9961.58847966062,-0.0015365857116526
"6",2020-09-03,9996.57939237864,0.00351258363959284
"7",2020-09-04,10004.7096095362,0.000813299913749788
"8",2020-09-08,9976.94015853422,-0.0027756378831385
"9",2020-09-09,9997.03872939719,0.00201450249711854
"10",2020-09-10,9979.45914608771,-0.00175847906418436
"11",2020-09-14,9992.71352853162,0.00132816641161493
"12",2020-09-17,9984.8783414225,-0.000784090035879537
"13",2020-09-18,9973.71268111952,-0.00111825702038426
"14",2020-09-25,9989.647445804,0.00159767633116603
"15",2020-09-28,10005.7413158303,0.00161105485590252
"16",2020-10-19,10021.9477132833,0.00161970981873738
"17",2020-10-30,10009.7915855205,-0.00121295062701843
